org_sujo;org_detalhe_sujo;id_org_dupla;org_detalhe_limpo;org_limpo;id_org_unica
Ministério das Relações Exteriores;"Embaixada Brasileira em Londres; Conselheiro para Assuntos Marítimos; Representação Permanente do Brasil na IMO";3007;NA;Ministério das Relações Exteriores;435
Ministério de Relações Exteriores;Gabinete do Ministro;3011;NA;Ministério das Relações Exteriores;435
Ministério das Relações Exteriores;Missão Permanente do Brasil junto a Organizações Internacionais em Londres;3017;NA;Ministério das Relações Exteriores;435
Ministério das Relações Exteriores;"Missão Permanente do Brasil junto a Organizações Internacionais em Londres; Representação Permanente do Brasil na IMO";3019;NA;Ministério das Relações Exteriores;435
Ministério do Desenvolvimento Agrário;NA;2785;NA;Ministério do Desenvolvimento Agrário;437
Ministério do Desenvolvimento Social e Agrário;Secretaria Nacional de Segurança Alimentar e Nutricional;2853;NA;Ministério do Desenvolvimento Social e Combate à Fome;438
Ministério do Desenvolvimento Social e Agrário;NA;2866;NA;Ministério do Desenvolvimento Social e Combate à Fome;438
Ministério do Desenvolvimento Social e Agrário;"Secretaria Especial de Agricultura Familiar e Desenvolvimento Agrário; Assessoria de Assuntos Internacionais e Promoção Comercial";2869;NA;Ministério do Desenvolvimento Social e Combate à Fome;438
Ministério do Desenvolvimento Social e Agrário;Secretaria Especial de Agricultura Familiar e Desenvolvimento Agrário;2870;NA;Ministério do Desenvolvimento Social e Combate à Fome;438
Ministério do Desenvolvimento Indústria e Comércio Exterior;NA;2779;NA;Ministério do Desenvolvimento, Indústria e Comércio Exterior;439
Ministério do Meio Ambiente;NA;252;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente, dos Recursos Hídricos e da Amazônia Legal;NA;2738;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente, dos Recursos Hídricos e da Amazônia Legal;Assessoria Especial para Assuntos Internacionais;2741;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente, dos Recursos Hídricos e da Amazônia Legal;Coordenação de Assuntos do Meio Ambiente;2743;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente, dos Recursos Hídricos e da Amazônia Legal;Coordenadoria-Geral de Diversidade Biológica;2744;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente, dos Recursos Hídricos e da Amazônia Legal;Programa Nacional de Diversidade Biológica;2754;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente, dos Recursos Hídricos e da Amazônia Legal;Secretaria de Desenvolvimento Integrado;2755;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Secretaria de Biodiversidade e Florestas;2759;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Assessoria para Assuntos Internacionais;2760;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Programa Nacional de Conservação da Biodiversidade;2761;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Programa Nacional de Áreas Protegidas;2762;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Departamento de Recursos Genéticos;2763;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;"Projeto de Conservação da Biodiversidade; Diretoria de Biodiversidade";2767;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Projeto de Recursos Genéticos;2768;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Diretoria de Áreas Protegidas;2769;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Fundo Brasileiro para a Biodiversidade (FUNBIO);2771;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Fundação Vitória Amazônica;2772;NA;Ministério do Meio Ambiente;442
Ministério do Meio Ambiente;Assessoria de Assuntos Internacionais;2833;NA;Ministério do Meio Ambiente;442
